"","User ID","Age","Gender","Income","Region","Persona","Product","Awareness","BP_For_Me_0_10","BP_Fits_Budget_0_10","BP_Tastes_Great_0_10","BP_Good_To_Share_0_10","BP_Like_Logo_0_10","BP_Special_Occasions_0_10","BP_Everyday_Snack_0_10","BP_Healthy_0_10","BP_Delicious_0_10","BP_Right_Amount_0_10","BP_Relaxing_0_10","Consideration","Consumption","Satisfaction","Advocacy"
"1","id_1",49,"Male",57000,"West","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","id_2",65,"Male",133000,"West","Righteous Reviewer","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","id_3",18,"Male",31000,"West","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","id_4",54,"Female",85000,"West","Mainstream Maynard","Cookie_Crumble",1,2,1,0,5,0,2,3,0,0,2,0,0,NA,NA,NA
"5","id_5",33,"Male",133000,"West","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","id_6",64,"Female",43000,"West","Righteous Reviewer","Cookie_Crumble",1,5,4,3,1,3,3,3,0,5,3,4,1,0,NA,NA
"7","id_7",49,"Male",125000,"South","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","id_8",66,"Female",104000,"Midwest","Savvy Samantha","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","id_9",31,"Male",80000,"South","Easygoing Edith","Cookie_Crumble",1,4,2,1,5,2,2,1,0,2,2,3,1,1,3.3560746166301,1
"10","id_10",81,"Female",119000,"South","Savvy Samantha","Cookie_Crumble",1,6,4,0,0,1,2,4,0,3,4,3,0,NA,NA,NA
"11","id_11",34,"Male",42000,"South","Millenial Muncher","Cookie_Crumble",1,1,2,4,0,5,1,3,0,3,3,5,0,NA,NA,NA
"12","id_12",30,"Female",44000,"Midwest","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","id_13",80,"Female",116000,"South","Mainstream Maynard","Cookie_Crumble",1,3,6,2,0,0,3,3,1,5,3,6,0,NA,NA,NA
"14","id_14",32,"Female",90000,"Northeast","Easygoing Edith","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","id_15",19,"Male",145000,"West","Righteous Reviewer","Cookie_Crumble",1,4,8,3,0,0,1,5,0,6,2,0,1,1,3.5215475370473,0
"16","id_16",90,"Male",92000,"West","Mainstream Maynard","Cookie_Crumble",1,5,5,2,1,2,7,0,1,3,1,5,1,1,5.7823966184181,0
"17","id_17",26,"Female",98000,"West","Millenial Muncher","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","id_18",19,"Male",122000,"Northeast","Easygoing Edith","Cookie_Crumble",1,3,6,1,3,2,2,6,0,1,0,4,0,NA,NA,NA
"19","id_19",54,"Female",79000,"Midwest","Easygoing Edith","Cookie_Crumble",1,3,1,4,2,0,2,3,2,3,3,2,0,NA,NA,NA
"20","id_20",47,"Female",79000,"West","Easygoing Edith","Cookie_Crumble",1,5,2,4,1,2,4,4,0,7,3,5,1,1,4.5894872085372,0
"21","id_21",57,"Male",137000,"Midwest","Mainstream Maynard","Cookie_Crumble",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","id_22",68,"Male",20000,"Midwest","Easygoing Edith","Cookie_Crumble",1,0,4,3,0,3,1,4,1,5,0,6,1,0,NA,NA
"23","id_23",88,"Female",127000,"Northeast","Savvy Samantha","Cookie_Crumble",1,4,1,1,0,2,3,7,1,5,0,5,0,NA,NA,NA
"24","id_24",45,"Male",111000,"Northeast","Righteous Reviewer","Cookie_Crumble",1,5,6,0,0,0,0,3,1,5,5,2,0,NA,NA,NA
